Stage of Escalation,Priority,APT,Calls from Customer,TSLR,Number of Info to SAP from last TSLR,Frequent changes in processor,Number of Processors,Customer call back request,Business Impact mentioned?,Core Business affected?,Go live Affected?,Num of users affected,Work around available?
4.Seven_days_b4_escalation,Medium,17,1,17,0,1,1,No,Yes,No,Yes,300,No
5.two_days_b4_escalation,High,19,2,19,0,1,1,No,Yes,No,Yes,300,No
6.message_escalated,High,23,2,23,0,2,1,No,Yes,No,Yes,300,No
1.message_created,Very high ,0,0,0,0,0,0,No,Yes,No,Yes,5,No
2.two_days_b4_BI,Very high ,0,0,0,0,0,0,No,Yes,No,Yes,5,No
3.BI_is_communicated,Very high ,0,0,0,0,0,0,No,Yes,No,Yes,5,No
4.Seven_days_b4_escalation,Very high ,0,0,0,0,0,0,No,Yes,No,Yes,5,No
5.two_days_b4_escalation,High,1.87,2,2,3,1,1,No,Yes,No,Yes,5,No
6.message_escalated,High,3.87,3,2,3,2,2,No,Yes,No,Yes,5,No
1.message_created,Very high ,0.041,0,0,1,1,1,No,Yes,Yes,Yes,,No
2.two_days_b4_BI,Very high ,0.041,0,0,1,1,1,No,Yes,Yes,Yes,,No
3.BI_is_communicated,Very high ,0.041,0,0,1,1,1,No,Yes,Yes,Yes,,No
4.Seven_days_b4_escalation,High,3.58,0,3,1,2,2,No,Yes,Yes,Yes,,No
5.two_days_b4_escalation,High,8.375,1,5,5,5,3,No,Yes,Yes,Yes,,No
6.message_escalated,High,10.375,1,7,7,5,3,No,Yes,Yes,Yes,,No
1.message_created,High,0,0,0,0,1,2,No,Yes,Yes,No,3000,No
2.two_days_b4_BI,High,0,0,0,0,2,2,No,Yes,Yes,No,3000,No
3.BI_is_communicated,High,0,0,0,0,2,2,No,Yes,Yes,No,3000,No
4.Seven_days_b4_escalation,High,0,0,0,0,2,2,No,Yes,Yes,No,3000,No
5.two_days_b4_escalation,High,0,0,0,0,2,2,No,Yes,Yes,No,3000,No
6.message_escalated,High,1.08,0,1,1,3,3,No,Yes,Yes,No,3000,No
1.message_created,Medium,0,0,0,0,0,0,No,Yes,No,Yes,250,No
2.two_days_b4_BI,Medium,3.041,0,0,0,1,1,No,Yes,No,Yes,250,No
3.BI_is_communicated,High,7.79,1,1,1,1,1,No,Yes,No,Yes,250,No
4.Seven_days_b4_escalation,High,7.79,1,1,1,1,1,No,Yes,No,Yes,250,No
5.two_days_b4_escalation,High,8.79,1,1,2,1,1,No,Yes,No,Yes,250,No
6.message_escalated,High,10.79,2,3,2,1,1,No,Yes,No,Yes,250,No
1.message_created,High,0,0,0,0,0,0,No,Yes,Yes,No,15,Yes
2.two_days_b4_BI,High,0,0,0,0,0,0,No,Yes,Yes,No,15,Yes
3.BI_is_communicated,High,0,0,0,0,0,0,No,Yes,Yes,No,15,Yes
4.Seven_days_b4_escalation,High,0,0,0,0,0,0,No,Yes,Yes,No,15,Yes
5.two_days_b4_escalation,High,2.7,0,1,2,1,1,No,Yes,Yes,No,15,Yes
6.message_escalated,High,3.87,0,0,2,2,2,No,Yes,Yes,No,15,Yes
1.message_created,Very high ,0,0,0,0,1,1,No,Yes,Yes,No,,No
2.two_days_b4_BI,Very high ,0,0,0,0,1,1,No,Yes,Yes,No,,No
3.BI_is_communicated,Very high ,0,0,0,0,1,1,No,Yes,Yes,No,,No
4.Seven_days_b4_escalation,Very high ,0,0,0,0,1,1,No,Yes,Yes,No,,No
5.two_days_b4_escalation,Very high ,0,0,0,0,1,1,No,Yes,Yes,No,,No
6.message_escalated,Very high ,0,0,0,0,1,1,No,Yes,Yes,No,,No
1.message_created,Very high ,0,0,0,0,1,3,No,Yes,Yes,Yes,,No
